trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.01, 'e': 0.22763768838381274}",25,13,-31.371623673251033,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.01, 'e': 0.22537265553943872}",20,15,10.30626689325442,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.22313016014842982}",30,22,10.870091773823983,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.2209099779593782}",20,9,13.658748467931748,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21871188695221475}",30,10,-32.17763325241716,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21653566731600707}",20,8,5.022664818885689,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.21438110142697794}",20,13,7.6297972819831585,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21224797382674304}",35,9,14.963140435494415,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,0,30.985947500660856,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.01, 'e': 0.20804518235702046}",25,0,-45.33317866464269,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
159,False,"{'a': 0.01, 'e': 0.20597509820488344}",25,0,28.53474351027044,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
160,False,"{'a': 0.01, 'e': 0.20392561173421342}",25,8,15.925530077662014,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.20189651799465538}",35,8,16.22847774734183,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.1998876140751445}",30,0,-56.70019535056084,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
163,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,0,21.359430094017835,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
164,False,"{'a': 0.01, 'e': 0.19592957412690934}",20,0,-27.868687497706265,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
165,False,"{'a': 0.01, 'e': 0.19398004229089189}",30,0,-68.56751474559245,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
166,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,0,29.026331228239105,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.01, 'e': 0.1901389801015205}",25,0,16.07064935840017,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
168,False,"{'a': 0.01, 'e': 0.1882470656387468}",25,16,4.987561320849167,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18637397603940997}",25,3,32.935368206391836,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,0,24.30929325288213,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.01, 'e': 0.18268352405273466}",35,21,27.975753414099817,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.1808657926171221}",20,0,-8.098405842661576,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
173,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,0,4.461613875474966,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,0,25.84728100065132,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
175,False,"{'a': 0.01, 'e': 0.17552040061699686}",20,10,17.87955495061135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17377394345044514}",25,0,-22.87025146946314,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
177,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,0,25.605680426967112,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.01, 'e': 0.17033298882540943}",35,23,25.009157160880243,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1686381472685955}",35,0,19.08261307371797,"{0: 33, 1: 0, 2: 1, 3: 1, 4: 0}",0
180,False,"{'a': 0.01, 'e': 0.1669601696670407}",30,15,11.716389393194815,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16529888822158653}",30,13,20.48753372343454,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.16365413680270405}",20,14,11.224576491671957,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
